reportedyear,crime,Neighbourhood,Lat,Long
2014,Assault,O'Connor-Parkview (54),43.7096329,-79.3014603
2014,Break and Enter,Parkwoods-Donalda (45),43.7604408,-79.333168
2014,Robbery,L'Amoreaux (117),43.7752457,-79.3230133
2014,Break and Enter,Mimico (includes Humber Bay Shores) (17),43.6192017,-79.4996414
2014,Assault,Kensington-Chinatown (78),43.6545067,-79.3903809
2014,Robbery,Don Valley Village (47),43.780407,-79.3456955
2014,Robbery,Mount Olive-Silverstone-Jamestown (2),43.7339706,-79.5826111
2014,Break and Enter,Dovercourt-Wallace Emerson-Junction (93),43.6596527,-79.4364395
2014,Assault,Wychwood (94),43.6798172,-79.4346848
2014,Assault,South Riverdale (70),43.6616402,-79.353569
2014,Assault,Dovercourt-Wallace Emerson-Junction (93),43.6587143,-79.4496155
2014,Assault,Bay Street Corridor (76),43.6557198,-79.3837662
2014,Assault,Elms-Old Rexdale (5),43.7276535,-79.5495377
2014,Robbery,South Riverdale (70),43.6390648,-79.3466644
2014,Break and Enter,St.Andrew-Windfields (40),43.7590027,-79.396019
2014,Assault,Bay Street Corridor (76),43.6581764,-79.3864136
2014,Robbery,South Riverdale (70),43.6688004,-79.3375854
2014,Assault,New Toronto (18),43.6020012,-79.4996567
2014,Break and Enter,Pleasant View (46),43.7888069,-79.3315887
2014,Assault,Bay Street Corridor (76),43.6615677,-79.3861008
2014,Break and Enter,South Riverdale (70),43.6625748,-79.3333054
2014,Assault,Trinity-Bellwoods (81),43.6457024,-79.4114838
2014,Assault,Bay Street Corridor (76),43.6581764,-79.3864136
2014,Assault,Rosedale-Moore Park (98),43.6702271,-79.3867874
2014,Assault,Bedford Park-Nortown (39),43.715065,-79.4287872
2014,Robbery,Englemount-Lawrence (32),43.7302818,-79.4382401
2014,Break and Enter,Steeles (116),43.8105812,-79.3198929
2014,Assault,Danforth (66),43.684288,-79.3192368
2014,Assault,Humber Heights-Westmount (8),43.6946144,-79.5173416
2014,Break and Enter,Flemingdon Park (44),43.7144051,-79.3363495
2014,Assault,Annex (95),43.6694603,-79.40242
2014,Break and Enter,New Toronto (18),43.603508,-79.5051956
2014,Assault,Clairlea-Birchmount (120),43.7100029,-79.2951279
2014,Assault,Bay Street Corridor (76),43.6581764,-79.3864136
2014,Assault,Alderwood (20),43.6056442,-79.538269
2014,Assault,Bendale (127),43.7535286,-79.2553635
2014,Assault,West Humber-Clairville (1),43.7337761,-79.5935364
2014,Assault,Moss Park (73),43.6582947,-79.3710327
2014,Robbery,Briar Hill-Belgravia (108),43.6946297,-79.455101
2014,Theft Over,St.Andrew-Windfields (40),43.7509346,-79.3982925
2014,Break and Enter,Kingsview Village-The Westway (6),43.6929169,-79.5456772
2014,Assault,Mimico (includes Humber Bay Shores) (17),43.6120872,-79.5158234
2014,Break and Enter,Parkwoods-Donalda (45),43.7593727,-79.3387833
